Topic (Sub-Lesson),Question Text,Options (A|B|C|D),Correct Answer
TensorFlow Dense Layers,A Dense layer computes activation(inputs · kernel + bias). What does the 'kernel' variable hold?,The weights matrix | The activation map | The bias vector | The layer's inputs,The weights matrix
TensorFlow Dense Layers,Which argument of the Dense layer constructor controls the starting values assigned to the weights before training?,activation | trainable | kernel_initializer | bias_regularizer,kernel_initializer
Limits and continuity review,Which statement best captures what lim x→a f(x) means?,"The value that f must equal exactly at the point x = a | The slope of the graph of f at the single point x = a | The value f approaches near a, even if f(a) differs | The total area under the curve of f from 0 out to a","The value f approaches near a, even if f(a) differs"
Limits and continuity review,A function approaches 3 as x → 2 from the left and approaches 5 as x → 2 from the right. What can you conclude about lim x→2 f(x)?,"It exists and is equal to the left-hand value 3 | It exists only in the case where f(2) equals 4 | It exists and equals the average of the two, 4 | It does not exist (one-sided limits differ)",It does not exist (one-sided limits differ)
Limits and continuity review,"When direct substitution into a limit produces the indeterminate form 0/0, what does that result tell you?","The limit cannot possibly exist | The function must be discontinuous | More algebra is needed, e.g. factoring | The limit is automatically 0","More algebra is needed, e.g. factoring"
Limits and continuity review,"When plugging x = a into f produces a defined, finite value with no division by zero, which method should you try first to evaluate lim x→a f(x)?",Factor the expression first | Apply direct substitution | Build a table of nearby values | Use one-sided limits only,Apply direct substitution
Limits and continuity review,"Suppose f(4) is defined, lim x→4 f(x) exists, and lim x→4 f(x) = f(4). What does this establish?",There is a removable hole at x = 4 | The function is linear near x = 4 | The derivative at x = 4 must be 0 | The function is continuous at x = 4,The function is continuous at x = 4
"Power rule, product rule, and quotient rule","Using the power rule, what is d/dx(x^5)?",4x^5 | 5x^4 | x^4 | 5x^5,5x^4
"Power rule, product rule, and quotient rule","If u(x) and v(x) both vary with x, why does the derivative of their product equal u'v + uv' rather than just u'v'?",The functions u and v must be equal | Each factor's change contributes a term | A product is secretly just a sum | Only the denominator is allowed to change,Each factor's change contributes a term
"Power rule, product rule, and quotient rule",What is the derivative of x^2(x + 1)?,3x^2 + 2x | x^2 + 2x | 3x^2 + 1 | 2x + 1,3x^2 + 2x
"Power rule, product rule, and quotient rule","For a quotient u/v, which expression gives the correct derivative (u/v)'?",(u'v + uv')/v^2 | (uv' - u'v)/v^2 | (u'v - uv')/v^2 | (u'v - uv')/v,(u'v - uv')/v^2
"Power rule, product rule, and quotient rule",A student differentiates (x + 1)/x^2 and writes the numerator as u'v + uv'. What is the mistake?,"They applied the power rule here instead of the chain rule | They used the product-rule sum, not the quotient-rule subtraction | They should have just used direct substitution to evaluate it | They merely forgot the final step of squaring the denominator","They used the product-rule sum, not the quotient-rule subtraction"
The Chain Rule for composite functions,What is the chain rule pattern for d/dx f(g(x))?,f'(g(x)) · g'(x) | f(g'(x)) | f'(x) · g'(x) | f'(g(x)) + g'(x),f'(g(x)) · g'(x)
The Chain Rule for composite functions,"When differentiating a composition such as sin(3x^2 + 1) with the chain rule, what is the correct first step?","Expand the sine into a polynomial | Differentiate the outside, inside unchanged | Replace the inside with a constant | Differentiate the inside and stop","Differentiate the outside, inside unchanged"
The Chain Rule for composite functions,Which is the correct derivative of (x^2 + 1)^3?,6x(x^2 + 1)^2 | 3(x^2 + 1)^2 | 6x(x^2 + 1) | (x^2 + 1)^2,6x(x^2 + 1)^2
The Chain Rule for composite functions,A learner computes d/dx cos(5x) as -sin(5x). Which required factor did they leave out?,"A squared denominator term | A one-sided limit check | An added constant of integration | The inside's derivative, which is 5","The inside's derivative, which is 5"
The Chain Rule for composite functions,"Beyond a single exercise, why is the chain rule considered broadly important in calculus?",It fully replaces both the product and the quotient rules | It applies only to trigonometric functions such as sine | It differentiates nested expressions and underpins u-substitution | It is needed only when the variable x is very near to 0,It differentiates nested expressions and underpins u-substitution
Tangent lines and linear approximations,"Geometrically, what does the derivative of a function at a point represent?",The area bounded by the curve there | The slope of the tangent line at that point | The y-intercept of the tangent line | The mean slope across the whole graph,The slope of the tangent line at that point
Tangent lines and linear approximations,"When estimating instantaneous velocity as the average velocity over an interval around a point, why does shrinking that interval give a better estimate?",The secant slope approaches the tangent slope as the interval shrinks | Average velocity stops changing after the first step | Every function becomes exactly linear on a small interval | For small intervals the change in x always equals the change in t,The secant slope approaches the tangent slope as the interval shrinks
Tangent lines and linear approximations,An object's position is 155 m at t = 12 s and 170 m at t = 13 s. What is its average velocity over that interval?,12.5 meters per second | 10 meters per second | 25 meters per second | 15 meters per second,15 meters per second
Tangent lines and linear approximations,Which statement best captures the difference between average rate of change and instantaneous rate of change?,"Average rate is the slope over an interval; instantaneous rate is the slope at a point | Instantaneous rate of change is only ever defined for problems involving motion | On a curved graph these two rates of change always turn out to be exactly equal | Average rate uses just one point, while instantaneous rate is found using two points",Average rate is the slope over an interval; instantaneous rate is the slope at a point
Tangent lines and linear approximations,The tangent line to y = f(x) at a point has slope -4. What does this say about the function near that point?,It is momentarily not changing near that point | It is decreasing at 4 output units per input unit there | It must attain a local maximum at that point | Its output value at that point equals -4,It is decreasing at 4 output units per input unit there
Finding local minima and maxima,"At a smooth local maximum or minimum of a differentiable function, what is true of the derivative?","The first derivative must be equal to exactly 1 there | The function's value itself must be equal to 0 there | The tangent is horizontal, so the derivative equals 0 | The second derivative must always be equal to 0 there","The tangent is horizontal, so the derivative equals 0"
Finding local minima and maxima,"When optimizing a quantity, what is the next step after writing the objective function you want to maximize or minimize?",Rewrite the objective function in polar form | Find critical points where f'(x) = 0 or f' is undefined | Integrate the objective function over its domain | Immediately select the largest available x-value,Find critical points where f'(x) = 0 or f' is undefined
Finding local minima and maxima,A car moving along a line reaches its farthest distance at the instant it momentarily stops. Why does the maximum distance occur where the velocity is zero?,"At a local extreme the slope flattens to zero, since moving further would change the value | Distance and elapsed time always take on exactly equal values at any extreme point | The derivative of the distance function is undefined at every single maximum point | Every car that happens to come to a complete stop is automatically at its maximum distance","At a local extreme the slope flattens to zero, since moving further would change the value"
Finding local minima and maxima,"When finding the absolute maximum and minimum of a continuous function on a closed interval, what must you check in addition to the critical points?",Whether the denominator has been squared | Only where the graph crosses the y-axis | Whether the function is one-to-one on the interval | The two endpoints of the interval as candidates,The two endpoints of the interval as candidates
Finding local minima and maxima,"A continuous function on the closed interval [0, 4] has critical points at x = 1 and x = 3. Which x-values should be tested as candidates for the absolute maximum or minimum?","x = 0, 1, 3, and 4 | Only x = 1 and x = 3 | Only x = 0 and x = 4 | Every x-value in [0, 4]","x = 0, 1, 3, and 4"
Trig derivatives (sin and cos),What is the derivative of cos x with respect to x?,sin x | sec^2 x | -sin x | tan x,-sin x
Trig derivatives (sin and cos),Why are the derivatives of sine and cosine especially useful for modeling real-world phenomena?,"They turn every function into a simple polynomial | They are only ever needed in plane geometry | They remove any need to ever apply the chain rule | Sine and cosine describe repeating, oscillating behavior","Sine and cosine describe repeating, oscillating behavior"
Trig derivatives (sin and cos),A student differentiates cos x and writes the result as sin x. What mistake did they make?,They confused radians with degrees in the angle | They should have applied the quotient rule | They omitted a denominator from the result | They dropped the negative sign; it should be -sin x,They dropped the negative sign; it should be -sin x
Trig derivatives (sin and cos),"If f(x) = sin x + cos x, what is f'(x)?",sin x - cos x | cos x - sin x | -sin x - cos x | cos x + sin x,cos x - sin x
Chain rule and implicit differentiation,"According to the chain rule, what is d/dx of the composition f(g(x))?",f'(g(x)) · g'(x) | f'(g(x)) + g'(x) | f(g'(x)) | f'(x) · g'(x),f'(g(x)) · g'(x)
Chain rule and implicit differentiation,"To differentiate a composite function such as sin(3x^2 + 1) using the chain rule, what do you do first?","Replace the entire inside expression with the constant 0 | Fully expand the inside expression before differentiating | Differentiate the outer function, leaving the inside unchanged | Differentiate only the inside expression and then stop there","Differentiate the outer function, leaving the inside unchanged"
Chain rule and implicit differentiation,What is the derivative of (2x + 1)^4 with respect to x?,8x^3 + 1 | 8(2x + 1)^3 | (2x + 1)^5 | 4(2x + 1)^3,8(2x + 1)^3
Chain rule and implicit differentiation,"In implicit differentiation, why does a factor of dy/dx appear when you differentiate a term containing y?",Because y is assumed to be equal to x | Because y is treated as a function of x | Because every derivative must contain dy/dx | Because implicit equations are really integrals,Because y is treated as a function of x
Chain rule and implicit differentiation,"Differentiating implicitly, a student writes d/dx(y^2) = 2y. What did they get wrong?",They omitted the chain rule factor dy/dx | They forgot to square the variable y first | They needed to solve for x before differentiating | They should have used the product rule,They omitted the chain rule factor dy/dx
Higher-Order Derivatives and Second Derivative,What does the second derivative of a function describe?,How the rate of change is changing | Whether a limit exists at a point | The value of the function itself | The total area under the curve,How the rate of change is changing
Higher-Order Derivatives and Second Derivative,"If f'(x) represents velocity, then f''(x) is interpreted as which quantity?",Distance traveled | Position | Slope of a secant line | Acceleration,Acceleration
Higher-Order Derivatives and Second Derivative,"If a function has f'(x) = 3x^2, what is f''(x)?",6x | 3x | 9x^2 | x^3 + C,6x
Higher-Order Derivatives and Second Derivative,Which statement about the second derivative is a common misconception to avoid?,A zero second derivative may signal an inflection point | A negative second derivative means concave down | A positive second derivative means concave up | A negative second derivative is automatically bad,A negative second derivative is automatically bad
Higher-Order Derivatives and Second Derivative,Why do second derivatives matter in many real-world applications?,Many motion and optimization problems hinge on how the rate changes | They are required only when differentiating trig functions | They are the standard way to evaluate definite integrals | They make all first-derivative computations unnecessary,Many motion and optimization problems hinge on how the rate changes
Optimization and related rates,"In a constrained optimization setup, what is the purpose of the objective function?",To represent the quantity being maximized or minimized | To approximate the value of a limit numerically | To eliminate the term dy/dx from the main equation | To convert a graph into a numerical table of values,To represent the quantity being maximized or minimized
Optimization and related rates,"When optimizing a continuous function on a closed interval [a, b], which x-values are the candidates for the extreme values?",Only where the graph crosses the x-axis | Critical points and the endpoints | Only points where f'(x) = 1 | Every x-value within the interval,Critical points and the endpoints
Optimization and related rates,"In a related rates problem, when should you substitute the known numerical values?","Only after solving for the final variable | After differentiating with respect to time | Before writing the relating equation | Before differentiating, to simplify the work",After differentiating with respect to time
Optimization and related rates,"A problem asks how fast a balloon's radius is changing at one instant, given how fast its volume changes. Which method is most appropriate?",The law of cosines | Riemann sums | Direct substitution | Related rates,Related rates
Optimization and related rates,"A student finds one interior critical point for a max/min problem on [a, b] and stops there. What important step is likely missing?",Checking only the one-sided limits | Rewriting the function as a quotient | Converting the function to polar form | Testing the endpoints as candidates,Testing the endpoints as candidates
Antiderivatives and indefinite integrals (undoing derivatives),What is the core idea of an antiderivative?,It reverses differentiation | It rewrites a function as a limit | It estimates slope from two points | It gives the area between two curves,It reverses differentiation
Antiderivatives and indefinite integrals (undoing derivatives),Why must the constant +C be included in an indefinite integral?,Because every integral needs an endpoint correction | Because integration adds one extra variable | Because differentiation discards constant information | Because the final answer must be positive,Because differentiation discards constant information
Antiderivatives and indefinite integrals (undoing derivatives),"Using the reverse power rule, what is ∫x^3 dx?",x^3/3 + C | 4x^3 + C | 3x^2 + C | x^4/4 + C,x^4/4 + C
Antiderivatives and indefinite integrals (undoing derivatives),"Which integral is the exception to the reverse power rule, giving a logarithm instead?",∫cos x dx | ∫x dx | ∫(1/x) dx | ∫e^x dx,∫(1/x) dx
Antiderivatives and indefinite integrals (undoing derivatives),"Among the core memorized integrals, what is ∫cos x dx?",cos x + C | sin x + C | -sin x + C | -cos x + C,sin x + C
Functions of several variables,"A function f(x, y) takes how many inputs and produces how many outputs?",Two inputs and one output | One input and two outputs | Three inputs and one output | Two inputs and two outputs,Two inputs and one output
Functions of several variables,"On the surface z = f(x, y), if you hold y fixed and vary only x, what are you measuring?",A probability density value | The determinant of the Hessian | The inverse of the gradient vector | The partial derivative with respect to x,The partial derivative with respect to x
Functions of several variables,The tangent plane to a surface is found by taking slices in the x- and y-directions. Why do these two tangent lines determine the plane?,Because the two partial derivatives are always equal | Because one tangent line determines the other | Because two intersecting lines fix a unique plane | Because both tangent lines have the same slope,Because two intersecting lines fix a unique plane
Partial derivatives and the Gradient vector,"For a function of two variables, what is the gradient?",The vector formed from its partial derivatives | A single number measuring total curvature | The ratio of the function to its variables | The matrix of all second partial derivatives,The vector formed from its partial derivatives
Partial derivatives and the Gradient vector,"At any point, the gradient of a function points in which direction?",A direction perpendicular to every slope | The direction of zero change | The direction of steepest descent | The direction of steepest ascent,The direction of steepest ascent
Partial derivatives and the Gradient vector,"To decrease a function's value as fast as possible in one tiny step, which direction should you move?",Along the negative gradient | In any random direction | Perpendicular to the gradient | Along the gradient,Along the negative gradient
Partial derivatives and the Gradient vector,Why are gradients central to machine learning?,They give the direction for optimization steps like gradient descent | They apply only to problems with exact analytic solutions | They are useful only for plotting smooth continuous surfaces | They completely remove the need for any algebra at all,They give the direction for optimization steps like gradient descent
Higher-order derivatives and the Hessian matrix,"For a scalar function of two variables f(x, y), what does its Hessian matrix contain?",All of the second-order partial derivatives of f | The values of f sampled at four nearby points | The reciprocals of the diagonal of the Jacobian | All of the first-order partial derivatives of f,All of the second-order partial derivatives of f
Higher-order derivatives and the Hessian matrix,"In one variable, the second derivative test asks whether f''(x) > 0 at a critical point. What is the multivariable analogue of that single check?",Whether the Hessian's eigenvalues are all positive | Whether every first partial derivative is equal | Whether both x and y come out positive | Whether the gradient's determinant is positive,Whether the Hessian's eigenvalues are all positive
Higher-order derivatives and the Hessian matrix,"At a critical point where every eigenvalue of the Hessian is positive, how is the Hessian classified and what is the local shape of the surface?","Singular, giving a locally flat surface | Positive definite, giving a concave-up surface | Orthogonal, giving a periodic surface | Negative definite, giving a concave-down surface","Positive definite, giving a concave-up surface"
Higher-order derivatives and the Hessian matrix,"For f(x, y) = 2x^2 + 3y^2 - xy, the Hessian is constant and positive definite everywhere. What does this tell you about the critical point?",The critical point is a local minimum | The gradient and the Hessian are identical | The critical point is a saddle point | The mixed partial derivatives must be zero,The critical point is a local minimum
Introduction to Gradient Descent,What is the main purpose of gradient descent?,To compute the exact symbolic derivative by hand | To formally prove that a given function is continuous | To diagonalize a square matrix into its eigenvalues | To iteratively step toward a minimum of a function,To iteratively step toward a minimum of a function
Introduction to Gradient Descent,Why is an iterative method like gradient descent often preferred over solving an optimization problem analytically?,Because gradient descent works only on one-variable problems | Because a gradient can never be computed exactly | Because exact solutions get complicated in high dimensions | Because analytic solutions are always wrong in practice,Because exact solutions get complicated in high dimensions
Introduction to Gradient Descent,"Which formula gives the gradient descent update step for a function of several variables, with learning rate α?",New point = the gradient - α times the old point | New point = old point + α times the gradient | New point = the Hessian times the gradient | New point = old point - α times the gradient,New point = old point - α times the gradient
Introduction to Gradient Descent,"When minimizing a function with gradient descent, what must be evaluated at the current point before taking the next step?",Only the Hessian at that point | Only the function's value at the origin | The gradient evaluated at that point | The determinant of the gradient,The gradient evaluated at that point
Introduction to Gradient Descent,What is a well-known limitation of gradient descent on a non-convex function?,It cannot make use of partial derivatives | It can be applied only in one dimension | It always reaches the global minimum | It can get trapped in a local minimum,It can get trapped in a local minimum
Learning rate and convergence,What role does the learning rate α play in a gradient descent update?,It decides whether the gradient exists | It scales the size of each step | It converts a maximum into a minimum | It selects the coordinate system used,It scales the size of each step
Learning rate and convergence,"As gradient descent approaches a minimum, what behavior signals that you are getting close?",The starting point immediately repeats | The steps shrink and progress nearly stops | The function value hits exactly zero | The gradient becomes a square matrix,The steps shrink and progress nearly stops
Learning rate and convergence,Why is choosing a good learning rate considered difficult?,It only ever matters when using Newton's second method | A known closed-form formula gives it but rarely works | The step size must always equal exactly one in every case | No single method is guaranteed to work for every problem,No single method is guaranteed to work for every problem
Learning rate and convergence,Two gradient descent runs start from different points on a surface with several valleys. What can result?,They must converge to the same point | They are unable to converge at all | They may settle into different local minima | They both jump straight to the global minimum,They may settle into different local minima
Learning rate and convergence,"On a surface with many local minima, what is a practical way to improve your chances of finding a very good solution?",Restrict the problem to one-dimensional data | Restart the search from many different points | Swap the gradient for the Hessian every step | Set the learning rate to zero after one step,Restart the search from many different points
Gradients of cost functions (e.g.,"In a linear regression fit by least squares, what quantity is being minimized?","The arithmetic product of the fitted slope and the intercept | The sum of squared errors between observations and predictions | The determinant of the matrix holding the input features | The plain signed sum of the residuals, left entirely unsquared",The sum of squared errors between observations and predictions
Gradients of cost functions (e.g.,"Why is squared error used as the cost, rather than just summing the signed errors directly?",Because squaring removes the need for a gradient | Because squaring forces every residual to equal 1 | Because squared error applies only to classification | Because signed errors can cancel even when both are large,Because signed errors can cancel even when both are large
Gradients of cost functions (e.g.,"For a single observation (x_1, y_1) and a line y = mx + b, which expression is the residual (prediction minus observed value) before it is squared?",m + b - x_1 y_1 | y_1 - m - b | y_1 + mx_1 + b | mx_1 + b - y_1,mx_1 + b - y_1
Gradients of cost functions (e.g.,"When gradient descent is applied to the least-squares cost for a line y = mx + b, which quantities are updated on each step?",The number of observations n | The parameters m and b | Only the observed values y_i | Only the input values x_i,The parameters m and b
Gradients of cost functions (e.g.,Why is gradient descent attractive for minimizing a least-squares cost that has many parameters?,Because solving the exact system is costly in high dimensions | Because the cost function then becomes linear | Because it avoids computing any derivatives | Because least squares admits no exact solution at all,Because solving the exact system is costly in high dimensions
Newton's Method for optimization,"To minimize a smooth one-variable function g(x), Newton's method iterates by updating the current estimate x_k. Which update formula does it use?",x_(k+1) = x_k - g(x_k)/g'(x_k) | x_(k+1) = x_k + α·g'(x_k) | x_(k+1) = x_k - g'(x_k)/g''(x_k) | x_(k+1) = g''(x_k) - g'(x_k),x_(k+1) = x_k - g'(x_k)/g''(x_k)
Newton's Method for optimization,"When using Newton's method to minimize a function g(x), why does the update rely on g'(x) and g''(x) rather than on g(x) itself?","Because the method is only defined for logarithmic functions | Because optimization seeks the zeros of the function's value g(x) | Because the second derivative is cheaper to evaluate than the first | Because minima occur where g'(x) = 0, and g''(x) confirms the type","Because minima occur where g'(x) = 0, and g''(x) confirms the type"
Newton's Method for optimization,"When Newton's method for optimization works well, how does its convergence typically compare with that of gradient descent?",It generally requires many more iterations to converge | It reaches a near-exact answer in only a few iterations | It always converges to the global minimum | It cannot be applied to optimization problems,It reaches a near-exact answer in only a few iterations
Newton's Method for optimization,"Extending Newton's method to minimize a function of several variables, what plays the role held by the second derivative g''(x) in the one-variable case?",The Jacobian transpose | The cost function itself | The Hessian matrix | The gradient vector,The Hessian matrix
Newton's Method for optimization,"In the multivariable Newton update, the step is the inverse Hessian times the gradient. Why does the order of this matrix-vector product matter?",Because the gradient commutes freely with every square matrix | Because the resulting update step is required to be a single scalar | Because a column gradient cannot left-multiply the inverse Hessian | Because the Hessian must be a diagonal matrix in this update,Because a column gradient cannot left-multiply the inverse Hessian
Computational graphs and the Chain Rule in graphs,"In a computational graph, a derivative such as ∂L/∂w is computed as a product of several simpler derivatives. What justifies expressing it this way?",Because the variables form a chain of dependence from w to L | Because partial derivatives can only be taken two at a time | Because every loss function is quadratic in its inputs | Because weights are always multiplied by biases,Because the variables form a chain of dependence from w to L
Computational graphs and the Chain Rule in graphs,"In a computational graph, a weight w influences the loss along the path w → z → y_hat → L. How is ∂L/∂w obtained from the local derivatives along this path?","Multiply ∂z/∂w, ∂y_hat/∂z, and ∂L/∂y_hat together | Add ∂z/∂w, ∂y_hat/∂z, and ∂L/∂y_hat together | Subtract ∂L/∂y_hat from ∂z/∂w | Multiply only the first and the last local derivative","Multiply ∂z/∂w, ∂y_hat/∂z, and ∂L/∂y_hat together"
Computational graphs and the Chain Rule in graphs,"During backpropagation through a computational graph, why are intermediate derivatives stored once they have been computed?",Because saved derivatives can alter the network's connection structure | Because reusing them avoids recomputing the same quantities repeatedly | Because caching them somehow guarantees reaching a global minimum loss | Because storing them removes any need to pick a learning rate at all,Because reusing them avoids recomputing the same quantities repeatedly
Computational graphs and the Chain Rule in graphs,"In a neural network's computational graph, the local derivative at each small step is usually easy to compute because each step is typically what kind of function?",Either a determinant or an inverse | Either a logarithm or a square root | Either a sigmoid or a linear function | Either a tangent plane or a Hessian,Either a sigmoid or a linear function
Singularity and solvability of systems,"In linear algebra, what makes a system of linear equations singular?","It has strictly more unknown variables in it than it has equations | It simply cannot be written down in any matrix or vector form at all | Its right-hand-side constants all happen to be strictly nonzero ones | Its equations are linearly dependent, carrying redundant information","Its equations are linearly dependent, carrying redundant information"
Singularity and solvability of systems,Whether a linear system is singular or non-singular does not depend on the constants on the right-hand side. Which feature of the system does determine it?,Whether the solution values come out positive | The determinant of the augmented matrix | The magnitude of the constants column | The coefficient structure of the equations,The coefficient structure of the equations
Singularity and solvability of systems,A 2x2 matrix maps the entire plane onto a single line under its linear transformation. How is such a matrix classified?,"Non-singular, since a line is still infinite | Invertible, since every point has an output | Singular, since its image no longer fills the plane | Orthogonal, since lines stay straight","Singular, since its image no longer fills the plane"
Singularity and solvability of systems,"While solving a linear system by Gaussian elimination, a row reduces to all zeros, including a zero constant on the right. What does this imply about the system?",It has exactly one solution | It has infinitely many solutions | It has no solution | It must be non-singular,It has infinitely many solutions
Singularity and solvability of systems,"While solving a linear system by Gaussian elimination, a row reduces to all zeros on the left but its right-hand constant is nonzero. What is the correct conclusion?",The system has exactly one solution | The system turns non-singular after back substitution | The system has infinitely many solutions | The system has no solution,The system has no solution
Elementary row operations and Gaussian elimination,"When setting up Gaussian elimination to solve a linear system, what is the first matrix you construct?","The full matrix inverse of the system's coefficient matrix | The Hessian matrix of the system's second partial derivatives | The augmented matrix, with the constants as a final column | The identity matrix having the exact same dimensions as it","The augmented matrix, with the constants as a final column"
Elementary row operations and Gaussian elimination,"In Gaussian elimination, what is the purpose of a pivot?",To create zeros below (and later above) key entries | To remove the constants column from the matrix | To estimate the value of the determinant | To check whether two row vectors are orthogonal,To create zeros below (and later above) key entries
Elementary row operations and Gaussian elimination,"During Gaussian elimination, the current pivot entry equals 2 and you want to scale it to 1. Which elementary row operation accomplishes this?",Subtract the row from itself | Add 2 to every entry of the row | Swap the row with the constants column | Multiply the entire row by 1/2,Multiply the entire row by 1/2
Elementary row operations and Gaussian elimination,"Once the matrix is in row echelon form, what does back substitution accomplish?",It converts each matrix column directly into a standard basis vector | It rescales every single one of the rows by one shared scalar | It uses lower pivots to clear entries above and solve the unknowns | It replaces each pivot entry with the whole matrix's determinant,It uses lower pivots to clear entries above and solve the unknowns
Elementary row operations and Gaussian elimination,Why can Gaussian elimination be carried out equally well by hand or implemented in code?,Because it applies only to 2x2 matrices | Because it never requires any stopping condition | Because it relies on geometry rather than numbers | Because it is an algorithmic sequence of row operations,Because it is an algorithmic sequence of row operations
REF and Reduced Row Echelon Form (RREF),Reduced row echelon form (RREF) adds one extra requirement on top of ordinary row echelon form (REF). What is that extra condition?,Every pivot entry must be a negative number | The matrix must have more rows than columns | Each pivot must equal 1 but signs may vary | Entries above each pivot must also be zero,Entries above each pivot must also be zero
REF and Reduced Row Echelon Form (RREF),"When a linear system is written in RREF, what does a pivot variable represent?",A variable free to take any chosen value | A variable whose value is fixed by the system | A variable forced to equal zero in the system | A variable forbidden from entering any basis,A variable whose value is fixed by the system
REF and Reduced Row Echelon Form (RREF),"When a linear system is written in RREF, what does a free variable represent?",A variable that can take any chosen value | A variable left untouched by all row operations | A variable existing only in square matrices | A variable certain to become a pivot later,A variable that can take any chosen value
REF and Reduced Row Echelon Form (RREF),A matrix in RREF has exactly three pivot positions. What is its rank?,2 | 0 | 3 | 1,3
REF and Reduced Row Echelon Form (RREF),"Beyond solving a single linear system, why is putting a matrix into RREF so useful?","It exposes rank, free variables, and consistency | It reaches the answer without any row operations | It computes eigenvalues straight from the pivots | It keeps the original columns exactly unchanged","It exposes rank, free variables, and consistency"
Linear dependence and independence,A set of rows or vectors is called linearly dependent in which situation?,When the system has as many equations as unknowns | When none of them comes from any of the others | When one of them is a linear combination of the others | When all of their entries happen to be positive,When one of them is a linear combination of the others
Linear dependence and independence,A system of equations becomes singular when one equation carries the same information as the others. Why is that the case?,Dependence shrinks the size of the constants column | Repeated information makes those equations linearly dependent | Singular systems are limited to a single variable | Repeated information cancels the constant terms entirely,Repeated information makes those equations linearly dependent
Linear dependence and independence,"If you have more vectors than the dimension of the space they are meant to span, what must be true of that set of vectors?",The vectors must all be eigenvectors | The vectors automatically form a basis | The set must be linearly dependent | The set must be mutually orthogonal,The set must be linearly dependent
Linear dependence and independence,"Suppose v_3 can be written as αv_1 + βv_2 for some scalars α and β. What does this tell you about the set {v_1, v_2, v_3}?","The three vectors must be mutually perpendicular | The set {v_1, v_2, v_3} is linearly dependent | The set is guaranteed to be a basis for the space | The set spans a strictly higher-dimensional space","The set {v_1, v_2, v_3} is linearly dependent"
Linear dependence and independence,A set of vectors forms a basis for a space only if it satisfies which two conditions together?,It spans the space and is linearly independent | Every vector is an eigenvector of one shared matrix | It is orthogonal and every vector has unit length | All vectors share a coordinate count and a norm,It spans the space and is linearly independent
Rank of a matrix,"In an intuitive sense, what does the rank of a matrix measure?",The average magnitude of its entries | The number of columns added to the rows | How much information its system carries | The determinant left after row reduction,How much information its system carries
Rank of a matrix,"A 2×2 homogeneous system has a solution space consisting of only the single point (0, 0). What is the rank of its coefficient matrix?",It cannot be found from the solution space | 0 | 2 | 1,2
Rank of a matrix,A 2×2 homogeneous system has a solution space that forms a line through the origin. What is the rank of its coefficient matrix?,0 | 1 | 3 | 2,1
Rank of a matrix,"Stated in terms of rank, what condition makes a square matrix non-singular?",Its rank falls below the number of rows | Its rank is one more than the column count | Its rank matches the determinant value | Its rank is equal to the number of rows,Its rank is equal to the number of rows
Rank of a matrix,Why is the rank of a matrix relevant to image compression?,Rank is exactly equal to the image's pixel count | Rank is tied to how much storage the image needs | Higher-rank images always end up looking blurrier | Any image matrix reduces to rank 1 with no loss,Rank is tied to how much storage the image needs
Representing systems of linear equations as matrices,How is a system of linear equations converted into a matrix?,Replace each equation by its own determinant value | Place the constant terms along the main diagonal | Place the coefficients of the variables into an array | Put each variable into a separate matrix of its own,Place the coefficients of the variables into an array
Representing systems of linear equations as matrices,"When a linear system is written as a coefficient matrix, what does each row of that matrix correspond to?",A variable | An equation | A solution | A basis vector,An equation
Representing systems of linear equations as matrices,"When a linear system is written as a coefficient matrix, what does each column of that matrix correspond to?",A distinct constant term taken from each equation | The coefficients of one variable across the equations | A separate matrix operation applied to the system | A different method used to solve the linear system,The coefficients of one variable across the equations
Representing systems of linear equations as matrices,"When deciding whether a system is singular or non-singular, why can the right-hand-side constants be ignored?",Because the constants only affect the determinant | Because singularity depends on the coefficient structure | Because the constants vanish after one row swap | Because the constants are always zero in practice,Because singularity depends on the coefficient structure
Vector operations: Addition,"In typical applications, what kind of quantity does a vector represent?",A square matrix written in disguise | A pure location carrying no size at all | A magnitude and a direction together | A table of probabilities over outcomes,A magnitude and a direction together
Vector operations: Addition,How are vector addition and subtraction carried out?,By converting both vectors to matrices first | By multiplying magnitudes and adding angles | By taking the determinant of each vector | By combining corresponding components,By combining corresponding components
Vector operations: Addition,"In matrix multiplication, which operation between a row and a column produces each entry of the result?",The matrix inverse | The dot product | The determinant | The cross product,The dot product
Geometric interpretation of vectors and transformations,"In the plane, what is a linear transformation?",A rule that assigns a single number to each point of the plane | A rule that sends each point of the plane to another point in the plane | The graph of a quadratic surface over the plane | A procedure that returns only the eigenvectors of a matrix,A rule that sends each point of the plane to another point in the plane
Geometric interpretation of vectors and transformations,"Under any linear transformation, where is the origin always sent?",To an undefined location | To the value of the determinant | To the origin itself | To the first column of the matrix,To the origin itself
Geometric interpretation of vectors and transformations,Why is the image of the unit square (the fundamental square spanned by the standard basis vectors) so informative about a linear transformation?,Because only perfectly square matrices can be drawn as plane transformations | Because the square and its image show how the matrix reshapes the whole plane | Because the unit square is always an eigenbasis aligned with the matrix's axes | Because its image merely fixes the determinant value and reveals nothing else,Because the square and its image show how the matrix reshapes the whole plane
